BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Current Floor,Total Floors
1,17000,320,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,23.0,23.0
3,77000,1100,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,16.0,21.0
4,290000,1500,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,5.0,15.0
2,35000,650,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,6.0,8.0
1,40000,508,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,16.0,18.0
4,250000,2500,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,2.0,10.0
2,47000,720,Carpet Area,Mumbai,Unfurnished,Bachelors,2,2.0,4.0
2,50000,750,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,2.0,4.0
1,32000,430,Carpet Area,Mumbai,Unfurnished,Family,1,2.0,3.0
2,8000,623,Carpet Area,Mumbai,Unfurnished,Family,2,6.0,7.0
3,240000,1358,Carpet Area,Mumbai,Semi-Furnished,Family,4,40.0,50.0
3,85000,1000,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,4.0,11.0
3,65000,1100,Carpet Area,Mumbai,Unfurnished,Bachelors,3,25.0,28.0
3,75000,1255,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,12.0,17.0
1,26500,450,Carpet Area,Mumbai,Furnished,Family,2,5.0,8.0
2,45000,650,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,3.0,7.0
2,95000,955,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,34.0,40.0
2,38000,700,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,2.0,4.0
3,260000,1915,Super Area,Mumbai,Semi-Furnished,Family,4,8.0,23.0
4,300000,2308,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,9.0,31.0
3,180000,1250,Carpet Area,Mumbai,Semi-Furnished,Family,3,11.0,13.0
2,40000,625,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,6.0,14.0
4,300000,2200,Carpet Area,Mumbai,Furnished,Family,4,7.0,8.0
2,85000,870,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,5.0,21.0
3,110000,1300,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,4.0,12.0
2,40000,750,Carpet Area,Mumbai,Unfurnished,Family,2,2.0,8.0
2,45000,750,Super Area,Mumbai,Furnished,Bachelors,2,2.0,8.0
2,52000,550,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,3.0,9.0
4,90000,1250,Carpet Area,Mumbai,Furnished,Family,4,2.0,7.0
3,140000,1400,Carpet Area,Mumbai,Semi-Furnished,Family,3,11.0,13.0
3,150000,1330,Carpet Area,Mumbai,Semi-Furnished,Family,4,32.0,59.0
3,65000,1000,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,5.0,10.0
2,50000,770,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,4.0,14.0
2,54000,800,Carpet Area,Mumbai,Unfurnished,Family,2,3.0,7.0
4,180000,1691,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,20.0,32.0
1,60000,550,Carpet Area,Mumbai,Furnished,Bachelors,2,12.0,20.0
2,65000,800,Carpet Area,Mumbai,Unfurnished,Family,2,10.0,14.0
2,35000,615,Carpet Area,Mumbai,Unfurnished,Family,2,6.0,14.0
2,43000,663,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,25.0,43.0
1,20000,400,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,3.0,4.0
2,57000,625,Carpet Area,Mumbai,Furnished,Bachelors,2,9.0,18.0
4,130000,1432,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,12.0,20.0
1,25000,425,Carpet Area,Mumbai,Unfurnished,Bachelors,1,3.0,5.0
2,56000,649,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,5.0,22.0
2,55000,905,Carpet Area,Mumbai,Unfurnished,Bachelors,2,10.0,37.0
2,18000,882,Super Area,Mumbai,Unfurnished,Bachelors,2,10.0,22.0
3,100000,1200,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,4.0,15.0
2,76000,736,Carpet Area,Mumbai,Unfurnished,Family,2,16.0,36.0
3,270000,1710,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,25.0,48.0
1,45000,225,Carpet Area,Mumbai,Unfurnished,Bachelors,1,3.0,6.0
2,39000,720,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,2.0,4.0
1,12500,555,Super Area,Mumbai,Unfurnished,Bachelors,1,6.0,7.0
1,35000,415,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,2.0,7.0
2,55000,649,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,4.0,22.0
3,90000,1000,Carpet Area,Mumbai,Furnished,Bachelors,2,3.0,3.0
2,250000,1300,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,2.0,4.0
2,25000,1065,Super Area,Mumbai,Furnished,Bachelors/Family,2,15.0,15.0
2,90000,854,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,15.0,20.0
3,120000,1200,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,5.0,14.0
1,55000,500,Carpet Area,Mumbai,Unfurnished,Bachelors,1,8.0,18.0
3,70000,906,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,7.0,10.0
3,300000,1800,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,11.0,11.0
2,25000,500,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,1.0,3.0
1,35000,450,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,2.0,7.0
3,120000,1130,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,3.0,7.0
1,27000,495,Super Area,Mumbai,Furnished,Bachelors/Family,2,5.0,7.0
1,25000,407,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,5.0,23.0
3,150000,1092,Carpet Area,Mumbai,Semi-Furnished,Family,3,60.0,77.0
2,32000,610,Carpet Area,Mumbai,Unfurnished,Family,2,11.0,18.0
1,40000,500,Super Area,Mumbai,Furnished,Bachelors/Family,2,13.0,14.0
2,52000,750,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,4.0,20.0
2,80000,750,Carpet Area,Mumbai,Furnished,Bachelors,2,6.0,16.0
2,55000,850,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,6.0,10.0
1,30000,350,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,5.0,16.0
1,20000,300,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,2.0,12.0
1,85000,695,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,2.0,7.0
1,40000,415,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,15.0,22.0
1,21000,450,Carpet Area,Mumbai,Unfurnished,Bachelors,2,3.0,13.0
3,43000,850,Carpet Area,Mumbai,Unfurnished,Family,3,8.0,14.0
2,58000,805,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,30.0,58.0
2,130000,700,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,7.0,10.0
3,260000,1800,Carpet Area,Mumbai,Furnished,Family,4,10.0,11.0
2,46000,669,Carpet Area,Mumbai,Unfurnished,Bachelors,2,15.0,43.0
1,6500,325,Carpet Area,Mumbai,Unfurnished,Family,1,7.0,16.0
1,21000,600,Super Area,Mumbai,Furnished,Bachelors/Family,1,5.0,6.0
2,46000,725,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,2.0,4.0
2,60000,750,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,5.0,9.0
3,65000,1050,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,13.0,21.0
2,15000,600,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,18.0,28.0
2,130000,1000,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,10.0,13.0
3,90000,1110,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,9.0,55.0
2,62000,650,Carpet Area,Mumbai,Unfurnished,Family,2,11.0,25.0
3,160000,1100,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,8.0,10.0
3,80000,1100,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,15.0,28.0
3,80000,1110,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,49.0,55.0
3,55000,999,Carpet Area,Mumbai,Semi-Furnished,Family,2,14.0,23.0
3,100000,1000,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,2.0,4.0
4,200000,2200,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,11.0,20.0
3,100000,1256,Carpet Area,Mumbai,Furnished,Family,3,10.0,22.0
2,79500,750,Carpet Area,Mumbai,Semi-Furnished,Family,2,17.0,20.0
3,84500,889,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,7.0,27.0
2,100000,750,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,14.0,27.0
1,13000,385,Carpet Area,Mumbai,Unfurnished,Family,1,6.0,20.0
4,100000,1454,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,5.0,7.0
1,35000,480,Carpet Area,Mumbai,Semi-Furnished,Family,2,1.0,7.0
2,72000,660,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,12.0,22.0
3,180000,1600,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,9.0,16.0
1,26000,434,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,5.0,22.0
3,72000,1121,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,7.0,14.0
1,8000,620,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,6.0,8.0
3,130000,937,Carpet Area,Mumbai,Furnished,Family,2,16.0,27.0
1,52000,470,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,6.0,7.0
1,13000,410,Carpet Area,Mumbai,Unfurnished,Family,1,2.0,7.0
3,45000,850,Carpet Area,Mumbai,Unfurnished,Family,3,5.0,7.0
3,180000,1500,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,15.0,20.0
2,63000,888,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,12.0,20.0
1,7500,380,Carpet Area,Mumbai,Unfurnished,Bachelors,2,3.0,7.0
1,30000,360,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,4.0,20.0
1,28500,565,Super Area,Mumbai,Furnished,Bachelors/Family,2,1.0,8.0
3,100000,2000,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,4,25.0,50.0
4,270000,1358,Carpet Area,Mumbai,Semi-Furnished,Family,4,25.0,50.0
2,38000,661,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,17.0,36.0
1,26000,450,Carpet Area,Mumbai,Unfurnished,Family,2,9.0,20.0
3,70000,1300,Carpet Area,Mumbai,Unfurnished,Bachelors,3,6.0,30.0
2,41000,600,Carpet Area,Mumbai,Furnished,Family,2,4.0,8.0
2,27000,900,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,2.0,4.0
1,53000,379,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,21.0,23.0
2,65000,805,Carpet Area,Mumbai,Semi-Furnished,Family,3,8.0,58.0
1,85000,650,Super Area,Mumbai,Furnished,Bachelors/Family,2,3.0,8.0
1,6000,500,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,8.0,10.0
1,43000,480,Carpet Area,Mumbai,Furnished,Family,2,5.0,7.0
2,65000,550,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,1.0,7.0
3,280000,1600,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,5.0,12.0
3,98000,1400,Carpet Area,Mumbai,Semi-Furnished,Family,2,4.0,15.0
3,330000,1500,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,20.0,41.0
3,65000,1050,Carpet Area,Mumbai,Unfurnished,Bachelors,3,3.0,62.0
3,85000,920,Carpet Area,Mumbai,Unfurnished,Family,3,4.0,13.0
1,40000,450,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,8.0,13.0
1,23000,440,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,2.0,4.0
3,55000,932,Super Area,Mumbai,Unfurnished,Bachelors/Family,3,3.0,8.0
1,15000,270,Carpet Area,Mumbai,Unfurnished,Bachelors,2,15.0,15.0
1,52000,379,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,23.0,23.0
2,13000,582,Carpet Area,Mumbai,Furnished,Family,2,5.0,8.0
2,95000,800,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,6.0,8.0
1,25000,444,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,7.0,17.0
1,21000,428,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,12.0,21.0
5,360000,1880,Carpet Area,Mumbai,Furnished,Family,4,11.0,27.0
2,60000,888,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,5.0,20.0
1,19000,490,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,2.0,4.0
3,140000,937,Carpet Area,Mumbai,Unfurnished,Family,4,28.0,39.0
2,30000,710,Carpet Area,Mumbai,Unfurnished,Family,2,12.0,21.0
4,130000,1617,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,15.0,58.0
2,80000,836,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,6.0,23.0
2,85000,1200,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,36.0,45.0
2,65000,950,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,9.0,28.0
1,33000,460,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,10.0,25.0
1,36000,585,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,10.0,14.0
2,22000,550,Carpet Area,Mumbai,Furnished,Family,2,2.0,7.0
1,17000,375,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,9.0,20.0
2,55000,700,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,10.0,20.0
2,66000,750,Carpet Area,Mumbai,Unfurnished,Family,2,2.0,8.0
4,140000,2000,Carpet Area,Mumbai,Furnished,Family,4,6.0,45.0
4,260000,2046,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,22.0,52.0
2,32000,750,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,3.0,7.0
2,45000,730,Carpet Area,Mumbai,Unfurnished,Family,2,5.0,17.0
2,50000,750,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,10.0,20.0
1,18500,229,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,5.0,9.0
2,51000,910,Carpet Area,Mumbai,Unfurnished,Bachelors,2,10.0,19.0
4,140000,1648,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,21.0,58.0
3,80000,1100,Carpet Area,Mumbai,Unfurnished,Family,3,48.0,54.0
1,30000,560,Carpet Area,Mumbai,Unfurnished,Bachelors,2,2.0,4.0
2,85000,850,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,4.0,6.0
1,15000,450,Super Area,Mumbai,Unfurnished,Family,1,2.0,4.0
2,50000,820,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,7.0,28.0
2,60000,750,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,10.0,20.0
1,23000,410,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,4.0,7.0
1,14500,490,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,12.0,20.0
2,40000,700,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,11.0,15.0
5,650000,3000,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,8.0,10.0
1,80000,560,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,1.0,7.0
2,55000,650,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,8.0,18.0
1,12000,520,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,2.0,3.0
2,45000,850,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,9.0,12.0
2,90000,777,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,19.0,22.0
2,43000,771,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,15.0,37.0
1,22000,400,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,3.0,7.0
2,20000,600,Carpet Area,Mumbai,Furnished,Family,2,7.0,7.0
1,26000,390,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,2.0,4.0
4,850000,3200,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,2.0,4.0
1,34999,450,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,5.0,12.0
1,35000,500,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,7.0,23.0
1,50000,410,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,6.0,12.0
1,16000,160,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,2.0,3.0
2,55000,750,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,10.0,14.0
1,39000,585,Super Area,Mumbai,Unfurnished,Family,2,3.0,7.0
3,100000,1300,Carpet Area,Mumbai,Semi-Furnished,Family,3,12.0,24.0
1,25000,350,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,2.0,17.0
1,25000,490,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,3.0,7.0
2,49500,650,Carpet Area,Mumbai,Unfurnished,Family,2,5.0,16.0
1,21000,225,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,6.0,24.0
2,110000,850,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,5.0,13.0
1,21000,385,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,2.0,4.0
2,46700,800,Carpet Area,Mumbai,Unfurnished,Family,2,2.0,7.0
4,400000,2500,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,5.0,12.0
4,280000,1526,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,76.0,78.0
1,18000,300,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,3.0,10.0
3,80000,1800,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,10.0,13.0
2,88000,800,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,5.0,20.0
3,90000,890,Carpet Area,Mumbai,Furnished,Family,2,20.0,27.0
2,38000,700,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,14.0,23.0
1,20000,465,Super Area,Mumbai,Semi-Furnished,Bachelors,1,3.0,4.0
2,140000,900,Carpet Area,Mumbai,Furnished,Family,2,8.0,36.0
3,78000,1073,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,8.0,20.0
1,21000,450,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,4.0,7.0
3,95000,1350,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,8.0,16.0
2,90000,800,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,5.0,8.0
2,34000,600,Carpet Area,Mumbai,Unfurnished,Bachelors,2,4.0,7.0
2,55000,650,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,5.0,15.0
2,52000,550,Carpet Area,Mumbai,Furnished,Bachelors,2,3.0,3.0
1,74999,840,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,8.0,17.0
3,75000,1121,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,30.0,45.0
2,45000,650,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,2.0,12.0
1,22000,575,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,14.0,14.0
1,32000,475,Super Area,Mumbai,Furnished,Bachelors/Family,1,3.0,4.0
2,34000,830,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,9.0,21.0
3,170000,1337,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,28.0,30.0
1,23000,420,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,5.0,7.0
1,20000,310,Carpet Area,Mumbai,Unfurnished,Bachelors,1,2.0,4.0
3,350000,1800,Carpet Area,Mumbai,Furnished,Family,4,2.0,12.0
3,90000,967,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,14.0,33.0
1,55000,505,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,4.0,12.0
1,15000,275,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,3.0,7.0
2,22000,640,Carpet Area,Mumbai,Semi-Furnished,Family,2,21.0,21.0
3,60000,1500,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,10.0,23.0
2,49000,850,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,10.0,23.0
2,34000,900,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,12.0,25.0
1,24000,430,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,6.0,7.0
4,270000,1649,Carpet Area,Mumbai,Semi-Furnished,Family,3,18.0,29.0
3,69000,1100,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,12.0,24.0
3,120000,1200,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,14.0,35.0
2,32000,680,Carpet Area,Mumbai,Unfurnished,Family,2,5.0,20.0
2,24000,600,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,5.0,7.0
4,100000,1560,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,12.0,19.0
5,600000,4500,Carpet Area,Mumbai,Furnished,Bachelors,5,7.0,20.0
2,45000,771,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,20.0,37.0
2,80000,800,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,7.0,22.0
2,37000,800,Super Area,Mumbai,Semi-Furnished,Bachelors,2,5.0,14.0
3,210000,1425,Carpet Area,Mumbai,Furnished,Bachelors,4,9.0,35.0
4,190000,1750,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,5.0,17.0
1,25000,475,Carpet Area,Mumbai,Unfurnished,Bachelors,2,11.0,15.0
4,210000,2000,Carpet Area,Mumbai,Unfurnished,Bachelors,5,27.0,27.0
3,200000,1375,Carpet Area,Mumbai,Semi-Furnished,Family,3,15.0,60.0
5,310000,2800,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,19.0,33.0
1,26000,650,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,1.0,3.0
2,27000,600,Carpet Area,Mumbai,Unfurnished,Bachelors,2,18.0,20.0
1,26000,649,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,3.0,3.0
2,60000,950,Carpet Area,Mumbai,Furnished,Bachelors,2,2.0,8.0
1,12000,225,Carpet Area,Mumbai,Unfurnished,Family,1,7.0,7.0
2,180000,1000,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,6.0,10.0
1,30000,330,Carpet Area,Mumbai,Furnished,Family,1,13.0,40.0
3,100000,1200,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,8.0,14.0
3,140000,1270,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,15.0,60.0
3,70000,920,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,14.0,21.0
2,20000,630,Carpet Area,Mumbai,Unfurnished,Family,2,4.0,22.0
2,22000,670,Carpet Area,Mumbai,Furnished,Family,2,4.0,12.0
1,32000,450,Super Area,Mumbai,Furnished,Bachelors/Family,1,1.0,5.0
1,20000,265,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,6.0,7.0
2,50000,600,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,9.0,11.0
2,29000,670,Carpet Area,Mumbai,Unfurnished,Family,2,7.0,7.0
2,45000,650,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,10.0,18.0
1,6500,422,Carpet Area,Mumbai,Semi-Furnished,Family,2,9.0,15.0
2,55000,955,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,8.0,22.0
3,69999,1100,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,6.0,13.0
1,18500,300,Carpet Area,Mumbai,Unfurnished,Bachelors,1,3.0,4.0
2,50000,900,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,5.0,17.0
2,45000,785,Carpet Area,Mumbai,Unfurnished,Bachelors,2,2.0,7.0
3,85000,1350,Carpet Area,Mumbai,Furnished,Family,3,20.0,31.0
2,85000,900,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,27.0,45.0
1,25000,400,Carpet Area,Mumbai,Unfurnished,Bachelors,1,18.0,23.0
2,75000,800,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,19.0,20.0
2,190000,895,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,32.0,46.0
1,20000,625,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,10.0,12.0
2,30000,720,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,5.0,14.0
2,75000,750,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,4.0,13.0
3,350000,1663,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,19.0,85.0
2,70000,660,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,2.0,4.0
2,32000,700,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,2.0,4.0
1,22000,377,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,3.0,23.0
2,35000,650,Carpet Area,Mumbai,Semi-Furnished,Family,2,5.0,6.0
2,47000,650,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,5.0,7.0
4,400000,2080,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,34.0,46.0
2,31000,700,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,2.0,8.0
1,60000,430,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,1.0,7.0
2,58000,650,Carpet Area,Mumbai,Unfurnished,Family,2,15.0,24.0
3,85000,890,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,4.0,27.0
2,45000,965,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,19.0,27.0
1,7500,630,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,3.0,12.0
4,250000,2100,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,35.0,60.0
3,150000,1100,Carpet Area,Mumbai,Furnished,Family,3,9.0,16.0
2,80000,730,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,4.0,6.0
3,75000,1380,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,9.0,22.0
3,66000,1100,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,17.0,22.0
1,45000,450,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,5.0,7.0
1,22000,500,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,3.0,4.0
3,65000,1100,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,9.0,20.0
3,55000,868,Carpet Area,Mumbai,Unfurnished,Family,3,9.0,21.0
2,55000,750,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,6.0,15.0
1,36000,540,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,2.0,3.0
4,230000,2100,Carpet Area,Mumbai,Furnished,Family,5,21.0,33.0
1,22000,450,Carpet Area,Mumbai,Semi-Furnished,Family,2,4.0,7.0
3,170000,1600,Carpet Area,Mumbai,Semi-Furnished,Family,4,25.0,52.0
1,34000,560,Super Area,Mumbai,Semi-Furnished,Bachelors,2,3.0,7.0
1,45000,500,Carpet Area,Mumbai,Unfurnished,Bachelors,1,2.0,3.0
1,14000,305,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,2.0,24.0
